sample	unit	fq1	fq2
SI-GA-E1	S1_L001	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L001_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L001_R2_001.fastq.gz
SI-GA-E1	S1_L002	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L002_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L002_R2_001.fastq.gz
SI-GA-E1	S1_L003	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L003_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L003_R2_001.fastq.gz
SI-GA-E1	S1_L004	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L004_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S1_L004_R2_001.fastq.gz
SI-GA-E1	S2_L001	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L001_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L001_R2_001.fastq.gz
SI-GA-E1	S2_L002	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L002_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L002_R2_001.fastq.gz
SI-GA-E1	S2_L003	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L003_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L003_R2_001.fastq.gz
SI-GA-E1	S2_L004	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L004_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S2_L004_R2_001.fastq.gz
SI-GA-E1	S3_L001	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L001_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L001_R2_001.fastq.gz
SI-GA-E1	S3_L002	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L002_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L002_R2_001.fastq.gz
SI-GA-E1	S3_L003	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L003_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L003_R2_001.fastq.gz
SI-GA-E1	S3_L004	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L004_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S3_L004_R2_001.fastq.gz
SI-GA-E1	S4_L001	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L001_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L001_R2_001.fastq.gz
SI-GA-E1	S4_L002	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L002_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L002_R2_001.fastq.gz
SI-GA-E1	S4_L003	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L003_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L003_R2_001.fastq.gz
SI-GA-E1	S4_L004	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L004_R1_001.fastq.gz	/home/jashmore/work/scrnaseq/tailbud/scrnaseq/data/reads/amdias1_S4_L004_R2_001.fastq.gz